feature,pearson_corr_with_target,spearman_corr_with_target,abs_pearson_corr,abs_spearman_corr,single_feature_auc_abs,cohen_d_unstable_minus_stable,abs_cohen_d,n_valid
soft_target,0.9916180503644152,0.867432933839811,0.9916180503644152,0.867432933839811,1.0,15.33430649821195,15.33430649821195,1000
mean_diff_prev,0.7181457284092775,0.8599983227733308,0.7181457284092775,0.8599983227733308,0.99652,2.0618902215531825,2.0618902215531825,1000
max_diff_first,0.6396887894778248,0.8512203433624783,0.6396887894778248,0.8512203433624783,0.991452,1.6628168051499976,1.6628168051499976,1000
mean_diff_first,0.6377757331919656,0.844964088446551,0.6377757331919656,0.844964088446551,0.9878399999999999,1.6544257083762204,1.6544257083762204,1000
max_diff_prev,0.6015121951960177,0.7984594040695268,0.6015121951960177,0.7984594040695268,0.96099,1.5044129409264935,1.5044129409264935,1000
severity_bucket,0.7582962659852468,0.776420431609934,0.7582962659852468,0.776420431609934,0.928928,2.3240554029880154,2.3240554029880154,1000
first_move_thr5,0.5783221834247999,0.6892135612067387,0.5783221834247999,0.6892135612067387,0.8340000000000001,1.416370622075671,1.416370622075671,1000
first_move_thr2,0.1669806278363752,0.5541881642948827,0.1669806278363752,0.5541881642948827,0.813328,0.3383778931162736,0.3383778931162736,1000
top_fill_ratio,-0.4440447576500548,-0.5203196465480772,0.4440447576500548,0.5203196465480772,0.8003808314820692,-0.9902713164083784,0.9902713164083784,1100
onset_bucket,-0.3943286259781787,-0.40873521096184123,0.3943286259781787,0.40873521096184123,0.727862,-0.85733879452767,0.85733879452767,1000
top_centroid_dx,0.05973744836336151,0.32482183005169285,0.05973744836336151,0.32482183005169285,0.6875198349730245,0.1195805790672023,0.1195805790672023,1100
top_support_width_frac,0.15754237880762176,0.2953972699995055,0.15754237880762176,0.2953972699995055,0.6703675420501427,0.31878113431527644,0.31878113431527644,1100
first_move_thr10,0.3749348147709342,0.4230737584740615,0.3749348147709342,0.4230737584740615,0.653,0.8080669150022662,0.8080669150022662,1000
front_tilt,0.11411307186422273,0.2265210331342709,0.11411307186422273,0.2265210331342709,0.6307802417222046,0.2295193521648894,0.2295193521648894,1100
collapse_margin_proxy,-0.14970229274190433,-0.2104157739237966,0.14970229274190433,0.2104157739237966,0.6214677218872315,-0.3025435813588772,0.3025435813588772,1100
top_area_frac,0.0576267444325143,0.17892000967979763,0.0576267444325143,0.17892000967979763,0.603290622024754,0.11534110064732445,0.11534110064732445,1100
top_support_height_frac,0.12045266178774841,0.16001098945968617,0.12045266178774841,0.16001098945968617,0.5920491510631546,0.24245309390390882,0.24245309390390882,1100
front_top_heaviness,-0.043095167676156614,-0.08836836792253529,0.043095167676156614,0.08836836792253529,0.5510188564476886,-0.08619258954822945,0.08619258954822945,1100
top_centroid_dy,-0.006679821470592941,0.08223620163197871,0.006679821470592941,0.08223620163197871,0.5474750079339892,-0.013347878329046228,0.013347878329046228,1100
front_width_frac,-0.03966405256538596,-0.05589999954615218,0.03966405256538596,0.05589999954615218,0.5231655955781234,-0.07931889814768159,0.07931889814768159,1100
front_height_frac,-0.05444478866500405,-0.023360612500101838,0.05444478866500405,0.023360612500101838,0.5134497646249867,-0.10895286184042116,0.10895286184042116,1100
front_slenderness,0.015435356634980852,0.02321380373367319,0.015435356634980852,0.02321380373367319,0.513365465989633,0.0308465149509489,0.0308465149509489,1100
front_base_width_frac,-0.054951155087683654,-0.021437780003865977,0.054951155087683654,0.021437780003865977,0.5113158521104412,-0.1099692382061173,0.1099692382061173,1100
front_top_width_frac,-0.03753765195385682,-0.017004634597088127,0.03753765195385682,0.017004634597088127,0.5083934994181741,-0.07506042003406646,0.07506042003406646,1100
front_centroid_dx,0.0638561073625538,-0.005743113680157333,0.0638561073625538,0.005743113680157333,0.5033157463239184,0.12785784651986412,0.12785784651986412,1100
